name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
Home in Albany · ★4.74 · 1 bedroom · 1 bed · 1 private bath,Efrat,FOURTEENTH WARD,42.66719,-73.8158,Private room,50,1,239,08/12/2023,1.9,1,201,47
Rental unit in Albany · ★3.56 · 2 bedrooms · 2 beds · 1 bath,Kenneth,THIRD WARD,42.65789,-73.7537,Entire home/apt,70,28,9,17/08/2022,0.08,1,365,0
Rental unit in Albany · ★4.74 · 1 bedroom · 1 bed · 1 bath,Terra,SIXTH WARD,42.65222,-73.76724,Entire home/apt,125,2,291,19/11/2023,2.54,10,361,8
Rental unit in Albany · ★4.51 · Studio · 1 bed · 1 bath,Gregg,SECOND WARD,42.64615,-73.75966,Entire home/apt,68,2,332,12/11/2023,3.15,3,138,28
Rental unit in Albany · ★4.73 · 1 bedroom · 1 bed · 1 bath,Terra,SIXTH WARD,42.65222,-73.76724,Entire home/apt,140,1,305,10/12/2023,2.92,10,0,4
Townhouse in Albany · ★4.59 · 1 bedroom · 1 bed · 2 shared baths,Urbangem,SECOND WARD,42.64484,-73.75851,Private room,190,1,37,19/02/2023,0.41,6,365,1
Home in Albany · ★4.76 · 3 bedrooms · 3 beds · 3.5 baths,John M,TENTH WARD,42.66088,-73.78147,Entire home/apt,305,2,55,29/12/2023,0.54,2,365,4
Home in Albany · ★4.61 · 1 bedroom · 1 bed · 2.5 shared baths,John M,TENTH WARD,42.66063,-73.78115,Private room,199,3,18,25/07/2020,0.18,2,179,0
Home in Albany · ★4.88 · 5 bedrooms · 6 beds · 5 baths,Terra,NINTH WARD,42.65601,-73.7756,Entire home/apt,750,3,65,16/08/2022,0.66,10,365,0
Rental unit in Albany · ★4.74 · 1 bedroom · 1 bed · 1 bath,Robert,SECOND WARD,42.64603,-73.75986,Entire home/apt,85,3,226,18/09/2023,2.26,1,322,2
Rental unit in Albany · ★4.79 · 1 bedroom · 2 beds · 1 bath,Sugey,SIXTH WARD,42.65559,-73.76506,Entire home/apt,85,1,574,17/12/2023,6.36,1,0,44
Rental unit in Albany · ★4.53 · 1 bedroom · 2 beds · 1 private bath,Gregg,SECOND WARD,42.64734,-73.75851,Private room,61,2,363,28/12/2023,3.76,3,165,38
Home in Albany · ★4.81 · 1 bedroom · 1 bed · 1 bath,Elizabeth,FOURTEENTH WARD,42.66078,-73.80553,Entire home/apt,50,1,611,16/12/2023,6.34,2,163,92
Place to stay in Albany · ★4.94 · 3 bedrooms · 6 beds · 2 baths,Peter,FIFTEENTH WARD,42.67567,-73.82438,Entire home/apt,180,1,138,21/12/2023,1.49,9,0,21
Home in Albany · ★4.83 · 1 bedroom · 1 bed · 1.5 shared baths,Adam,ELEVENTH WARD,42.67583,-73.78297,Private room,47,1,229,17/12/2023,2.47,3,363,14
Home in Albany · ★4.61 · 1 bedroom · 1 bed · 1 shared bath,Chad,TENTH WARD,42.65912,-73.78349,Private room,45,10,61,26/10/2019,0.66,4,218,0
Rental unit in Albany · ★4.89 · 1 bedroom · 1 bed · 1 shared bath,Musab,SIXTH WARD,42.65154,-73.76867,Private room,50,5,27,16/09/2023,0.66,2,334,6
Home in Albany · ★4.66 · 4 bedrooms · 4 beds · 2 baths,Akhilesh,FIFTEENTH WARD,42.66972,-73.82753,Entire home/apt,219,2,173,28/12/2023,1.89,1,335,15
Home in Albany · ★4.77 · 1 bedroom · 1 bed · 1.5 shared baths,Adam,TWELFTH WARD,42.68769,-73.79664,Private room,60,2,223,06/12/2022,2.45,3,365,0
Home in Albany · ★4.70 · 1 bedroom · 1 bed · 1 shared bath,Chad,TENTH WARD,42.65726,-73.78219,Private room,46,10,47,19/05/2023,0.52,4,252,3
